Language,Algorithm,Size,Package,Core(s),GPU,Memory(MB),Time(sec)
Haskell,selectionsort,25000,301.666321,124.904419,0.147888,684.048,15.1588
Haskell,selectionsort,50000,597.267334,247.295593,0.242004,1189.612,30.0191
Rust,bubblesort,25000,212.558411,89.116455,0.106262,1083.296,10.687
Rust,bubblesort,50000,449.788147,188.770325,0.200073,2175.332,22.6048
Rust,cyclesort,25000,212.667419,89.218750,0.102905,1087.42,10.6876
Rust,cyclesort,50000,439.519226,184.429810,0.189087,2177.844,22.0829
Rust,heapsort,25000,214.799255,90.134033,0.108276,1077.304,10.7947
Rust,heapsort,50000,437.624207,183.772400,0.182068,2169.228,21.9844
Rust,insertionsort,25000,211.439453,88.767578,0.104431,1081.192,10.6198
Rust,insertionsort,50000,458.323792,192.541077,0.199219,2179.452,23.0251
Rust,mergesort,25000,217.583252,91.411072,0.095947,1101.224,10.9335
Rust,mergesort,50000,428.834717,179.808777,0.180115,2197.928,21.5519
Rust,oddevensort,25000,216.776306,90.914551,0.106689,1088.268,10.8955
Rust,oddevensort,50000,450.695312,188.925842,0.200134,2169.556,22.641
Rust,quicksort,25000,207.483643,87.066406,0.101318,1091.712,10.4293
Rust,quicksort,50000,447.994080,188.239319,0.186279,2183.408,22.5061
Rust,selectionsort,25000,222.402466,93.406921,0.106384,1083.608,11.174
Rust,selectionsort,50000,466.648254,195.741638,0.192200,2170.728,23.4508
Swift,bubblesort,25000,327.865112,139.200073,0.123596,144.308,16.4691
Swift,bubblesort,50000,1170.868530,498.032776,0.405457,214.652,58.8361
